iter=298, S=[4253, 29234], exptime=5874176.0
iter=299, S=[4416, 29265], exptime=5927199.0
iter=300, S=[4503, 29356], exptime=6028899.0
iter=301, S=[4449, 29354], exptime=5891466.0
iter=302, S=[4452, 29247], exptime=5678904.0
iter=303, S=[4294, 29277], exptime=5459238.0
iter=304, S=[4213, 29311], exptime=5539215.0
iter=305, S=[4213, 29311], exptime=5539215.0
iter=306, S=[4226, 29251], exptime=5900224.0
iter=307, S=[4045, 29171], exptime=5992383.0
iter=308, S=[4138, 29220], exptime=6144960.0
iter=309, S=[4051, 29231], exptime=5637502.0
iter=310, S=[4139, 29287], exptime=5924196.0
iter=311, S=[4115, 29326], exptime=5916402.0
iter=312, S=[4267, 29161], exptime=5919057.0
iter=313, S=[4136, 29075], exptime=5816472.0
iter=314, S=[4045, 29185], exptime=5878347.0
iter=315, S=[4019, 29315], exptime=5881710.0
iter=316, S=[4019, 29315], exptime=5881710.0
iter=317, S=[4019, 29315], exptime=5881710.0
iter=318, S=[4019, 29315], exptime=5881710.0
iter=319, S=[3926, 29123], exptime=6066788.0
iter=320, S=[4091, 29221], exptime=6147114.0
iter=321, S=[4287, 29076], exptime=5862912.0
iter=322, S=[4119, 29110], exptime=5971977.0
iter=323, S=[4132, 28989], exptime=6047678.0
iter=324, S=[4082, 28857], exptime=5663691.0
iter=325, S=[4231, 28953], exptime=5632569.0
iter=326, S=[4259, 28814], exptime=5774016.0
iter=327, S=[4111, 28886], exptime=5721629.0
iter=328, S=[4111, 28886], exptime=5721629.0
iter=329, S=[4111, 28886], exptime=5721629.0
iter=330, S=[4111, 28886], exptime=5721629.0
iter=331, S=[4111, 28886], exptime=5721629.0
iter=332, S=[4036, 28860], exptime=6038451.0
iter=333, S=[4137, 28747], exptime=5789696.0
iter=334, S=[4216, 28667], exptime=5623164.0
iter=335, S=[4216, 28667], exptime=5623164.0
iter=336, S=[4216, 28667], exptime=5623164.0
iter=337, S=[4032, 28548], exptime=5688759.0
iter=338, S=[3904, 28672], exptime=5929560.0
iter=339, S=[4101, 28731], exptime=6222016.0
iter=340, S=[4041, 28893], exptime=5712768.0
iter=341, S=[4041, 28893], exptime=5712768.0
iter=342, S=[3892, 28805], exptime=5697582.0
iter=343, S=[3998, 28610], exptime=5852763.0
